283,Action;FPS;Multiplayer,Counter-Strike 2,680,1862531
284,Action;Horror;FPS,F.E.A.R. 2: Project Origin,680,4209
285,Indie;Strategy;4X,Galactic Civilizations II: Ultimate Edition,668,3946
286,Strategy;Turn-Based Strategy;Fantasy,Heroes of Might & Magic V: Tribes of the East,661,737
287,Strategy;Turn-Based Strategy;Turn-Based,Sid Meier's Civilization V - Demo,656,7624
288,RPG,The Elder Scrolls III: Morrowind,618,1396
289,Action;Indie;Strategy,Anomaly Warzone Earth,617,1941
291,RPG;Open World;Post-apocalyptic,Fallout 3,601,2653
292,Action;Indie;Zombies,Nation Red,601,6850
293,Shooter;Action;FPS,Medal of Honor(TM) Multiplayer,592,3768
294,RPG;Strategy;Turn-Based Strategy,King's Bounty: The Legend,582,862
295,Action;Adventure;RPG,Fable - The Lost Chapters,544,2595
296,Indie;Simulation;Strategy,Gratuitous Space Battles,542,3231
297,RPG;Open World;Singleplayer,ArcaniA,519,1474
299,Action;Adventure;Casual,SEGA Mega Drive & Genesis Classics,518,4522
300,Casual;Strategy;Puzzle,Bejeweled 3,517,1415
301,Action;Simulation;World War II,Darkest Hour: Europe '44-'45,513,1083
302,Strategy;Base-Building;Villain Protagonist,Evil Genius,477,1041
305,Action;Adventure;Casual,Puzzle Quest,414,1392
307,RPG;Action;Villain Protagonist,Overlord: Raising Hell,394,1354
308,Strategy;Grand Strategy;Historical,Victoria II,348,3419
309,Shooter;Action;FPS,Frontlines: Fuel of War,329,1271
310,Action;Adventure;Story Rich,Mafia,321,9112
311,Action;Adventure;RPG,S.T.A.L.K.E.R.: Clear Sky,307,1428
313,Action;Adventure;Stealth,Tom Clancy's Splinter Cell,256,421
315,Action;Hero Shooter;Multiplayer,Team Fortress Classic,234,1897
316,Action;Open World;Crime,Mafia II - Demo,229,15864
317,Casual;Puzzle;Singleplayer,Peggle Nights,211,211
318,Character Customization;Cinematic;Story Rich,Warhammer 40000: Dawn of War - Soulstorm,176,3283
319,RPG;Strategy;Strategy RPG,Sol Survivor,158,4153
320,Strategy;Turn-Based Strategy;Turn-Based,Sid Meier's Civilization III: Complete,155,4600
321,Action;RPG;Open World,Gothic 3,139,915
322,Action;FPS;Classic,Half-Life: Opposing Force,135,5639
325,Action;Adventure;Casual,Spore,121,5630
326,Casual;Puzzle;Arcade,Peggle Deluxe,120,473
327,Character Customization;Cinematic;Story Rich,Warhammer 40000: Dawn of War - Dark Crusade,115,2259
328,Strategy;Classic;Turn-Based Strategy,X-COM: UFO Defense,110,653
329,Stylized;City Builder;Economy,Synergy,100,2940
